PID	Status	Label
-	0	com.apple.cvmsCompAgentLegacy_x86_64_1
-	0	com.apple.cvmsCompAgentLegacy_x86_64
-	0	com.apple.cvmsCompAgentLegacy_i386_1
-	0	com.apple.cvmsCompAgentLegacy_i386
89076	-	com.apple.cvmsCompAgent_x86_64_1
-	0	com.apple.cvmsCompAgent_x86_64
-	0	com.apple.cvmsCompAgent_i386_1
-	0	com.apple.cvmsCompAgent_i386
243	-	com.apple.cfprefsd.xpc.agent
-	0	com.apple.launchctl.Background
